2,0,16
2,0,90
1,0,136
1,0,480
2,0,529
2,0,657
2,0,695
2,1,158
2,3,112
2,3,563
2,3,610
1,4,46
1,4,310
1,4,351
1,5,203
1,5,751
2,6,61
2,6,495
1,6,582
2,6,736
1,7,225
2,7,636
1,7,768
1,9,0
2,9,292
1,9,373
2,11,180
2,12,76
2,12,363
2,12,470
1,13,233
1,13,342
2,13,713
1,13,792
1,14,214
1,14,685
2,15,246
1,16,332
1,16,456
1,16,772
2,17,128
2,17,396
1,17,555
1,18,42
1,19,265
2,19,523
1,19,669
2,20,159
1,22,315
2,22,724
1,23,58
2,23,196
1,23,375
1,24,91
2,24,101
2,24,453
2,24,488
1,24,748
1,25,32
2,25,233
2,25,541
1,25,609
1,26,700
2,27,180
2,27,216
2,27,365
1,27,795
1,28,25
2,28,292
2,28,328
2,28,688
1,29,415
2,29,583
1,30,624
2,31,771
1,32,44
1,32,636
2,34,441
2,34,651
2,35,66
1,35,83
1,35,115
1,35,274
2,35,292
1,36,149
2,36,162
2,36,338
1,37,256
2,37,374
2,37,748
1,38,318
1,38,602
2,39,37
2,39,396
2,39,667
1,39,795
2,40,100
2,40,410
2,40,509
2,41,142
2,41,230
1,41,307
1,42,428
2,42,769
1,43,704
2,44,190
1,45,566
2,46,353
1,46,631
2,47,251
1,48,206
2,48,747
1,49,726
2,49,794
1,50,679
1,52,475
2,52,579
1,52,603
1,53,81
1,53,326
2,53,503
2,54,10
1,55,23
2,55,388
2,56,163
2,56,613
2,56,648
2,56,702
2,57,103
2,57,119
2,57,365
1,57,425
2,57,537
1,58,523
2,58,677
1,59,276
1,59,718
1,60,223
1,60,230
1,61,755
2,62,448
1,62,629
2,64,310
2,64,472
1,64,723
1,65,51
1,65,298
2,66,204
1,66,407
1,66,712
2,68,257
2,68,346
2,68,580
1,70,19
2,70,549
1,70,742
1,70,765
1,71,80
2,71,277
2,71,668
2,72,12
2,72,454
1,72,531
2,72,598
2,73,383
1,73,614
2,74,106
2,74,787
2,75,429
2,76,196
1,76,225
2,77,58
1,77,142
2,77,637
2,78,126
2,78,172
1,78,652
2,79,569
1,79,776
1,80,40
2,80,333
2,80,715
1,81,296
1,82,353
1,82,498
2,82,582
2,83,94
2,84,737
1,85,393
2,85,690
2,87,64
1,87,193
2,87,248
2,87,370
2,87,450
1,87,543
2,87,607
2,88,210
1,88,414
1,88,657
2,89,134
2,89,642
2,89,669
2,89,789
2,90,0
2,90,549
1,92,315
1,92,765
2,93,524
1,94,110
1,94,275
1,95,36
1,95,73
2,95,259
1,95,538
